Name,Website link,Storybook/GitHub,Maintainer team,Description,Framework,Design asset,Platform,Availability,Date added to index,Image,Search aliases
Slide-over panel,https://pages.github.ibm.com/cdai-design/pal/components/slide-over-panel/usage,n/a,CD&AI,The slide over panel opens as the result of a user action and can be opened from anywhere in the product UI. It will overlay the main page content.,n/a,Sketch,Web,IBM Internal,,,side panel
Required action modal,https://pages.github.ibm.com/Watson-Health/components/modal/overview.html,https://github.ibm.com/Watson-Health/design-library/tree/develop/packages/pattern-library/src/components/modal,Watson Health,Required action modals are used when a user must select an action before moving forward. They  cannot be dismissed without selecting an action.,Vanilla,Sketch,Web,,,,
Slider,https://pages.github.ibm.com/Watson-Health/components/slider/overview.html,https://github.ibm.com/Watson-Health/design-library/tree/develop/packages/pattern-library/src/components/slider,Watson Health,The user is able to increase and decrease two controls in order to specify a range of values.,Vanilla,Sketch,Web,,,,range slider
Tag,https://pages.github.ibm.com/Watson-Health/components/tag/overview.html,https://github.ibm.com/Watson-Health/design-library/tree/develop/packages/pattern-library/src/components/tag,Watson Health,"Use tags for items that need to be labeled, categorized, or organized using keywords that describe them. Tags can also be interactive, providing a substitute for elements such as links or buttons. (For single and multi select tags, please use the Selectable Item component.)",Vanilla,Sketch,Web,,,,
Interactive tooltip,https://pages.github.ibm.com/Watson-Health/components/tooltip/overview.html,https://github.ibm.com/Watson-Health/design-library/tree/develop/packages/pattern-library/src/components/tooltip,Watson Health,"Use tooltips when a user needs to access additional text and/or functionality related to a specific element, without losing context.",Vanilla,Sketch,Web,,,,
Widget,https://pages.github.ibm.com/cdai-design/pal/components/widget/usage,n/a,CD&AI,"A dashboard widget provides a summary of a platform functionality, status, or individual service. The goal of a widget is to provide actionable information that helps the user quickly accomplish a key task or track key metrics.",React,n/a,Web,IBM Internal,,,dashboard
Catalog / marketplace,https://pages.github.ibm.com/Watson-IoT/IoT-Design-Site/components/catalog-marketplace/overview,https://carbon-addons-iot-react.com/?path=/story/watson-iot-tilecatalog--default,Watson IoT,"The catalog series of components work together to support the ‘catalog’ UX pattern (to come), with a series of tiles to display resources in a friendly, browsable way, as well as a wrapper to support and control the layout and features that can be used to support things like searching and filtering.",React,Sketch,Web,Open Source,,,"tile, card"
Charts,https://pages.github.ibm.com/Watson-IoT/IoT-Design-Site/components/charts/overview,https://carbon-addons-iot-react.com/?path=/story/watson-iot-barchartcard--simple-bar-vertical,Watson IoT,,React,Sketch,Web,Open Source,,,"data visualization, area chart, bar chart, histogram, line graph, maps, pie, donut, gauge, schematic diagram, scatterplot, box plot, bubble chart, bubble map, bullet graph, chloropleth, circle pack, heatmap, master detail, sankey diagram, slope chart, small multiples, stream graph, sunburst, treemap graph, violin plot, weighted tree"
Chips,https://pages.github.ibm.com/Watson-IoT/IoT-Design-Site/components/chips/overview,n/a,Watson IoT,A simple visual indicator of ownership.,n/a,Sketch,Web,Open Source,,,
Data table,https://pages.github.ibm.com/Watson-IoT/IoT-Design-Site/components/datatable/overview,https://carbon-addons-iot-react.com/?path=/story/watson-iot-table--simple-stateful-example,Watson IoT,"The jewel of the IoT PAL, the data table provides a compact layout for viewing and managing large quantities of data.",React,Sketch,Web,Open Source,,,
Dropdown,https://pages.github.ibm.com/Watson-IoT/IoT-Design-Site/components/dropdown/overview,n/a,Watson IoT,The dropdown component allows the user to select from a pre-existing set of options. Use the Combobox component instead if the user can also add a new option.,React,Sketch,Web,,,,"combo box, multiselect, select"
Fixed button bar,https://pages.github.ibm.com/Watson-IoT/IoT-Design-Site/components/fixedbuttonbar/overview,n/a,Watson IoT,A sticky or fixed button bar should be used for certain forms. See the UX Patterns > Forms for design options and guidelines.,React,Sketch,Web,Open Source,,,
Floating palette,https://pages.github.ibm.com/Watson-IoT/IoT-Design-Site/components/floatingpalette/overview,n/a,Watson IoT,"The palette is to be used in partnership with a Canvas (see dashboard configuration pattern), and functions as a method for users to browse a set of objects such as charts, before inserting them onto their canvas.",React,Sketch,Web,Open Source,,,
Icon buttons,https://pages.github.ibm.com/Watson-IoT/IoT-Design-Site/components/iconbuttons/overview,https://carbon-addons-iot-react.com/?path=/story/watson-iot-button--icon-selection-buttons,Watson IoT,The IoT PAL extends the Carbon offering of icon buttons with a number of small use cases centered around icon based buttons.,React,Sketch,Web,Open Source,,,
Icon content switcher,https://pages.github.ibm.com/Watson-IoT/IoT-Design-Site/components/iconcontentswitcher/overview,https://carbon-addons-iot-react.com/?path=/story/watson-iot-button--icon-selection-buttons,Watson IoT,"Within many IoT offerings a number of different ‘view’ formats are required to be close at hand to our users over an identical data set. For example; list vs map, or list vs tiles, or table vs chart.",React,Sketch,Web,,,,
Icon tabs,https://pages.github.ibm.com/Watson-IoT/IoT-Design-Site/components/icontabs/overview,n/a,Watson IoT,Icon tabs allow for navigation between groups of content at the same level of hierarchy when space is at an extreme premium.,n/a,Sketch,Web,Open Source,,,
Large modals,https://pages.github.ibm.com/Watson-IoT/IoT-Design-Site/components/largemodals/overview,n/a,Watson IoT,"Within complex application patterns, it is sometimes a necessity to place complex or very large interactions within a modal context such as in the Advanced filtering, Rule builder and Expression builder UX patterns.",React,Sketch,Web,,,,
Link bar,https://pages.github.ibm.com/Watson-IoT/IoT-Design-Site/components/linkbar/overview,n/a,Watson IoT,"A lightweight alternative to the content switcher component where its usage would be inappropriately heavy in visual weight for the desired information hierarchy, or a content switcher is already in use for the different dimension (see usage guidelines for more).",React,Sketch,Web,Open Source,,,content switcher
List builder,https://pages.github.ibm.com/Watson-IoT/IoT-Design-Site/components/listbuilder/overview,https://carbon-addons-iot-react.com/?path=/story/watson-iot-experimental-hierarchylist--stateful-list-with-nested-searching,Watson IoT,This high level component is dedicated to the population of lists by a user by selecting items from another predefined set of items.,React,Sketch,Web,Open Source,,,
Menus,https://pages.github.ibm.com/Watson-IoT/IoT-Design-Site/components/menus/overview,https://carbon-addons-iot-react.com/?path=/story/watson-iot-experimental-flyout-menu--default-example,Watson IoT,Menus act as an extension to the base set of capabilities that comes with traditional overflow menu options with the ability to contain a large range of content.,React,Sketch,Web,Open Source,,,"overflow, select, dropdown, combo box, multiselect"
Page title bar,https://pages.github.ibm.com/Watson-IoT/IoT-Design-Site/components/page-title-bar/overview,https://carbon-addons-iot-react.com/?path=/story/watson-iot-pagetitlebar--base,Watson IoT,"At the top of every page in an application, beneath the primary header you will find the page title bar informing the user of where they are and briefly what they can do there, sometimes enriched with a small number of key indicators or actions.",React,Sketch,Web,Open Source,,,header
Password input,https://pages.github.ibm.com/Watson-IoT/IoT-Design-Site/components/passwordinput/overview,n/a,Watson IoT,"The password input is a specific example of the Carbon text input in its password form, included here for demonstration purposes.",n/a,Sketch,Web,Open Source,,,form
Progress indicator,https://pages.github.ibm.com/Watson-IoT/IoT-Design-Site/components/progressindicator/overview,https://carbon-addons-iot-react.com/?path=/story/watson-iot-pagewizard--stateful-example,Watson IoT,"The progress indicator used within the IoT PAL is partially guidance based, but also provides some new capabilities in the form of sub-steps and responsive.",React,,Web,Open Source,,,form
Rule builder,https://pages.github.ibm.com/Watson-IoT/IoT-Design-Site/components/rulebuilder/overview,n/a,Watson IoT,Used to visually build rules from logical statements with AND and OR operators.,React,Sketch,Web,Open Source,,,
Schematic diagram,https://pages.github.ibm.com/Watson-IoT/IoT-Design-Site/components/schematicdiagram/overview,n/a,Watson IoT,"Schematic diagrams provide a method for users to view, and navigate around an image representation of a given asset, system or concept.",n/a,Sketch,Web,Open Source,,,chart
Search,https://pages.github.ibm.com/Watson-IoT/IoT-Design-Site/components/search/overview,n/a,Watson IoT,An enhanced component built to allow users to rapidly find a given result from a large list of possibilities.,React,Sketch,Web,Open Source,,,
Status icons,https://pages.github.ibm.com/Watson-IoT/IoT-Design-Site/components/statusicons/overview,n/a,Watson IoT,Status icons are used to convey information quickly through the use of color and shape. You can use them in a variety of contexts.,React,Sketch,Web,Open Source,,,"notification, alert"
Text inputs,https://pages.github.ibm.com/Watson-IoT/IoT-Design-Site/components/textinputs/overview,https://carbon-addons-iot-react.com/?path=/story/textinput--default,Watson IoT,"The IoT PAL extends the base set of available Carbon text inputs by offering a wide range of alternative sizes to fit our use cases such as small, large and the infamous double extra large.",React,Sketch,Web,Open Source,,,form
Tile,https://pages.github.ibm.com/Watson-IoT/IoT-Design-Site/components/tile/overview,https://carbon-addons-iot-react.com/?path=/story/watson-iot-card--basic,Watson IoT,"Tiles are a flexible component for displaying a wide variety of content, including informational, getting started, how-to, next steps, and more. The IoT PAL uses the base Carbon component to create some composed tile components, as well as offering a standard tile template to aid in consistency with custom tiles.",React,Sketch,Web,Open Source,,,"container, card, module"
UI shell header,https://pages.github.ibm.com/Watson-IoT/IoT-Design-Site/components/ui-shell-header/overview,https://carbon-addons-iot-react.com/?path=/story/watson-iot-header--header-action-buttons-with-dropdowns,Watson IoT,"The UI shell header forms the uppermost bar of applications and provides users with things such as the application name, and access to common actions.",React,Sketch,Web,Open Source,,,"navigation "
UI shell right panel,https://pages.github.ibm.com/Watson-IoT/IoT-Design-Site/components/ui-shell-header-panel/overview,https://carbon-addons-iot-react.com/?path=/story/watson-iot-header--header-action-buttons-with-dropdowns,Watson IoT,"Reachable via the utility icons in the header, the UI shell panel provides an optional space to shows additional system level actions or content associated with the selected utility. Generally content that is either outside of a typical workflow such as a profile, but also tasks that may be aysnchronous to main workflows (eg: notifications).",React,Sketch,Web,Open Source,,,navigation
UI shell side nav,https://pages.github.ibm.com/Watson-IoT/IoT-Design-Site/components/ui-shell-side-nav/overview,https://carbon-addons-iot-react.com/?path=/story/watson-iot-sidenav--sidenav-component,Watson IoT,"The UI shell side nav panel provides users with their primary method of navigating around the different areas of our applications from the left hand side of the users screen. In the Watson IoT design system, we use the Carbon left panel as a base but deviate in both behaviour and styling in some small, but significant ways.",React,Sketch,Web,Open Source,,,navigation
Action widget,https://pages.github.ibm.com/Watson-Health/components/action-widget/overview.html,https://github.ibm.com/Watson-Health/design-library/tree/develop/packages/pattern-library/src/components/action-widget,Watson Health,The action widget is used to provide a menu of available actions within a widget or application.,Vanilla,Sketch,Web,,,,dashboard
Annotation,https://pages.github.ibm.com/Watson-Health/components/annotation/overview.html,https://github.ibm.com/Watson-Health/design-library/tree/develop/packages/pattern-library/src/components/annotation,Watson Health,Annotations are used to highlight important or insightful information within a large text passage.,Vanilla,Sketch,Web,,,,highlight
